ID_NIL;NIL;Valido_dal;Valido_al;Fonte;Shape_Length;Shape_Area;OBJECTID
"48";RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8723.36871405972;2406306.07896987;"89"
"64";TRENNO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3309.9988004762;489692.082833193;"90"
"67";PORTELLO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3800.75066348209;909602.218744835;"91"
"81";BOVISASCA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7105.46971455399;1578027.64941286;"92"
"84";PARCO NORD;05/02/2020;Vigente;Milano 2030 - PGT Approvato;11741.7170051219;1532331.00357503;"93"
"63";FIGINO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5622.52234127437;1424660.0739679;"94"
"20";LORETO - CASORETTO - NOLO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5631.44241324565;1747499.47028729;"95"
"76";QUARTO OGGIARO - VIALBA - MUSOCCO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7138.35567985143;2776872.19589658;"96"
"11";ISOLA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5082.70741760842;1322887.11576507;"97"
"61";QUARTO CAGNINO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4648.16999078025;986354.212655038;"98"
"60";STADIO - IPPODROMI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;8277.7341012033;3435177.50657979;"99"
"62";QUINTO ROMANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6962.78512662232;1645797.43552639;"100"
"1";DUOMO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7571.27554354952;2341615.56588667;"101"
"4";GUASTALLA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;6559.53277119605;1547962.25820417;"102"
"57";SAN SIRO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;4625.84503603483;984888.277851499;"103"
"82";COMASINA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5383.61284172927;926681.571062506;"104"
"43";TIBALDI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;3964.07749804318;786184.597773451;"105"
"13";GRECO - SEGNANO;05/02/2020;Vigente;Milano 2030 - PGT Approvato;7468.53129725966;1768602.61006837;"106"
"58";DE ANGELI - MONTE ROSA;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5765.95019650324;1323028.57601552;"107"
"78";FARINI;05/02/2020;Vigente;Milano 2030 - PGT Approvato;5085.56936348288;1010192.74394783;"108"
